"site_ID","Camera","Taxon","Size_class","spsize","MaxN","uniqueCam"
"hale_hinalea","deep_0","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",3,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",20,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Abudefduf sordidus","10_19","Abudefduf sordidus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus blochii","10_19","Acanthurus blochii_10_19",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus sp1","10_19","Acanthurus sp1_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus triostegus","5_9","Acanthurus triostegus_5_9",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus xanthopterus","10_19","Acanthurus xanthopterus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Acanthurus xanthopterus","20_29","Acanthurus xanthopterus_20_29",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Bodianus albotaeniatus","20_29","Bodianus albotaeniatus_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Bodianus albotaeniatus","30_39","Bodianus albotaeniatus_30_39",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Calotomus carolinus","20_29","Calotomus carolinus_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon auriga","10_19","Chaetodon auriga_10_19",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon auriga","5_9","Chaetodon auriga_5_9",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon lineolatus","10_19","Chaetodon lineolatus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon lineolatus","5_9","Chaetodon lineolatus_5_9",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chlorurus perspicillatus","10_19","Chlorurus perspicillatus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",9,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Ctenochaetus strigosus","10_19","Ctenochaetus strigosus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Diodon hystrix","10_19","Diodon hystrix_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Diodon hystrix","20_29","Diodon hystrix_20_29",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Gomphosus varius","10_19","Gomphosus varius_10_19",4,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Gomphosus varius","20_29","Gomphosus varius_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Lutjanus fulvus","10_19","Lutjanus fulvus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Lutjanus fulvus","20_29","Lutjanus fulvus_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Parupeneus insularis","10_19","Parupeneus insularis_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Scarid sp1","30_39","Scarid sp1_30_39",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Scarus psittacus","10_19","Scarus psittacus_10_19",14,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Scarus psittacus","5_9","Scarus psittacus_5_9",12,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",3,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Zanclus cornutus","10_19","Zanclus cornutus_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Zebrasoma flavescens","10_19","Zebrasoma flavescens_10_19",1,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Zebrasoma flavescens","5_9","Zebrasoma flavescens_5_9",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_0","Zebrasoma velifer","5_9","Zebrasoma velifer_5_9",2,"hale_hinalea_deep_0"
"hale_hinalea","deep_37","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",6,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",19,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Abudefduf sordidus","10_19","Abudefduf sordidus_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Acanthurus blochii","10_19","Acanthurus blochii_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",2,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",2,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Caranx melampygus","20_29","Caranx melampygus_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Chaetodon auriga","10_19","Chaetodon auriga_10_19",2,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",3,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",2,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Diodon hystrix","30_39","Diodon hystrix_30_39",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Lutjanus fulvus","20_29","Lutjanus fulvus_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Naso brevirostris","20_29","Naso brevirostris_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Parupeneus multifasciatus","10_19","Parupeneus multifasciatus_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Scarus psittacus","20_29","Scarus psittacus_20_29",4,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Stethojulis balteata","10_19","Stethojulis balteata_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zanclus cornutus","10_19","Zanclus cornutus_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zanclus cornutus","20_29","Zanclus cornutus_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","shallow_16","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",10,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus blochii","10_19","Acanthurus blochii_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus blochii","20_29","Acanthurus blochii_20_29",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus nigroris","20_29","Acanthurus nigroris_20_29",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus triostegus","5_9","Acanthurus triostegus_5_9",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon auriga","10_19","Chaetodon auriga_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",13,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",2,"hale_hinalea_shallow_16"
