Year,Month,Day,site_ID,datastream,visibility_m,reeftype,Latitude,Longitude,notes
2021,11,13,hale_kaku,ruv,7,slope,21.434,-157.786,2 camera failure
2021,11,18,hale_hinalea,ruv,10,slope,21.4317,-157.7868,
2021,11,22,hale_kaku,ruv,5,slope,21.434,-157.786,
2021,11,24,sunset_point,ruv,4.5,slope,21.4361,-157.7867,
2021,11,25,kayak_beach,ruv,7,slope,21.4351,-157.7865,
2021,11,27,nursery_patch,ruv,4,patch,21.4327,-157.7901,1 camera failure
2021,11,29,bushwhacker_reef,ruv,3,patch,21.4326,-157.7908,"windy conditions, higher turbidity"
2021,11,30,sunset_point,ruv,3,slope,21.4361,-157.7867,"windy conditions, higher turbidity"
2021,11,13,hale_kaku,uvc_5m,7,slope,21.434,-157.786,"throwaway, not point"
2021,11,18,hale_hinalea,uvc_5m,10,slope,21.4317,-157.7868,
2021,11,22,hale_kaku,uvc_5m,5,slope,21.434,-157.786,
2021,11,24,sunset_point,uvc_5m,4.5,slope,21.4361,-157.7867,
2021,11,25,kayak_beach,uvc_5m,7,slope,21.4351,-157.7865,
2021,11,27,nursery_patch,uvc_5m,4,patch,21.4327,-157.7901,
2021,11,29,bushwhacker_reef,uvc_5m,3,patch,21.4326,-157.7908,
2021,11,30,sunset_point,uvc_5m,3,slope,21.4361,-157.7867,
